,NIC,2022-01-28,2022-01-29,2022-01-30,2022-01-31,2022-02-01,2022-02-02,2022-02-03,2022-02-04,2022-02-07,2022-02-08,2022-02-14,2022-03-13,2022-03-14,2022-03-15,2022-03-16,2022-03-17,2022-03-18,2022-03-19,2022-03-20,2022-03-21,2022-03-27,2022-03-28,2022-03-29,2022-03-30,2022-03-31,2022-04-27
40,606584183,351796.859375,351940.123125,352081.043125,352198.02125,352341.270625,352480.971875,352617.54750000004,352755.511875,353132.85875,0,354003.58187500003,357526.16125,357621.29562499997,357764.49687499995,357910.695,358043.795,358175.91062499996,358316.264375,358452.83937500004,358548.19187499996,359382.815625,359465.44062500005,359603.65875,359741.018125,359882.77249999996,363432.37937499996
41,606585860,36.618125,36.625,36.63125,36.635625000000005,36.641875,36.648125,36.655,36.661875,36.67875,0,36.71625,36.86875,36.871875,36.87875,36.885625000000005,36.891875,36.898125,36.904375,36.910624999999996,36.91375,36.953125,36.955625,36.96125,36.9675,36.97375,37.13375
42,606586647,66.845,66.869375,66.894375,66.914375,66.93875,66.96249999999999,66.986875,67.0125,67.078125,0,67.235,67.83875,67.855,67.88,67.904375,67.92750000000001,67.949375,67.97375,67.996875,68.0125,68.145625,68.16,68.18375,68.2075,68.231875,68.82625
43,606587424,0,0,0,0,0,0,0,0,0,0,30954.50375,30954.505625,30954.505625,30954.505625,30954.505625,30954.505625,30954.505625,30954.505625,30954.505625,30954.505625,30954.505625,30954.505625,30954.505625,30954.505625,30954.505625,30954.505625
44,606588201,0,0,0,0,0,0,0,0,0,0,6731.648125,6731.649375000001,6731.649375000001,6731.649375000001,6731.649375000001,6731.649375000001,6731.649375000001,6731.649375000001,6731.649375000001,6731.649375000001,6731.649375000001,6731.649375000001,6731.649375000001,6731.649375000001,6731.649375000001,6731.649375000001
45,606589098,0,0,0,0,0,0,0,0,0,0,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725
46,606590824,0,0,0,0,0,0,0,0,0,0,674167.98,683367.0599999999,683736.0599999999,684078.3,684322.26,0,0,0,0,0,0,0,0,0,0,0
47,606591601,30.584374999999998,30.595625000000002,30.60875,30.621875,30.633125,30.64375,30.655625,30.666249999999998,30.700625000000002,30.71125,30.776875,31.073125,31.084375,31.094375,31.104375,31.113125,31.12375,31.13375,31.14625,31.159375000000004,31.223750000000003,31.235,31.245,31.254374999999996,31.265,31.571250000000003
48,606592498,9.483125,9.485624999999999,9.49,9.493749999999999,9.496875,9.5,9.503125,9.505625,9.515625,9.51875,9.535625,9.615,9.618125,9.620000000000001,9.6225,9.624375,9.62625,9.629375,9.633125,9.6375,9.6525,9.65625,9.658125,9.66,9.663125,9.745625
49,606593275,443161.22000000003,443319.1,443464.88,443620.8,443735.27999999997,443846.02,443981.63,444139.44,444603.57999999996,444709.76,445484.04000000004,448835.8,448971.22000000003,449067.76,449163.01999999996,449253.18,449343.54000000004,449455.68,449706.72,449956.78,450720.31999999995,450972.74,451073.2,451178.12,451309.10000000003,455378.98
50,606594052,56815.0,56831.8025,56852.44,56875.98375,56892.93625,56909.979999999996,56928.1125,56944.8475,56996.75,57011.442500000005,57112.065,57552.988750000004,57570.21875,57584.06625,57597.74249999999,57610.7725,57625.67125,57640.58625000001,57660.75125,57682.743749999994,57777.243749999994,57795.42375,57808.005000000005,57820.8575,57836.165,58312.26125
51,606597303,264042.575,264087.955,264134.765,264172.05,264216.485,264259.905,264302.53,264331.31,264456.71,0,264757.9,265957.91,265994.265,266039.7,266084.375,266128.99,266183.985,266228.81499999994,266274.51,266315.21499999997,266591.92,266628.2,266667.5,266715.765,266768.895,267918.305
52,INTMT_2818,684354.42,684354.42,684354.42,684354.42,684354.42,684354.42,684354.42,684354.42,684354.42,0,684354.42,684354.42,684354.42,684354.42,684354.42,684354.42,684354.42,684354.42,684354.42,684354.42,684354.42,684354.42,684354.42,684354.42,684354.42,684354.42
