,NIC,2024-04-29,2024-04-30,2024-05-01,2024-05-02,2024-05-04,2024-05-05,2024-05-06,2024-05-07,2024-05-08,2024-05-09,2024-05-10,2024-05-11,2024-05-12,2024-05-13,2024-05-14,2024-05-15,2024-05-18,2024-05-19,2024-05-20,2024-05-21,2024-05-22,2024-05-23,2024-05-24,2024-05-25,2024-05-26,2024-05-27,2024-05-28,2024-05-29,2024-05-30,2024-05-31,2024-06-01,2024-06-02,2024-06-03,2024-06-04,2024-06-18,2024-06-19,2024-06-20,2024-06-21,2024-06-22,2024-06-23,2024-06-24,2024-06-25,2024-06-26,2024-06-27,2024-06-28
24,606564335,0,0,0,0,0,0,353396.72500000003,353396.72500000003,353396.72500000003,353396.72500000003,353396.72500000003,353396.72500000003,353396.72500000003,353396.72500000003,353396.72500000003,353396.72500000003,353396.72500000003,353396.72500000003,353396.72500000003,353396.72500000003,353396.72500000003,353396.72500000003,353396.72500000003,353396.72500000003,353396.72500000003,353396.72500000003,353396.72500000003,353396.72500000003,353396.72500000003,353396.72500000003,353396.72500000003,353396.72500000003,353396.72500000003,353396.72500000003,353396.72500000003,353396.72500000003,353396.72500000003,353396.72500000003,353396.72500000003,353396.72500000003,353396.72500000003,353396.72500000003,353396.72500000003,353396.72500000003,353396.72500000003
25,606565012,0,0,0,0,0,0,14766.23875,14766.3825,14766.526875,14766.66875,14766.804375,14766.953125,14767.105625,14767.25,14767.39375,14767.535625,14767.96,14768.105625,14768.2425,14768.383125,14768.528125,14768.669375,14768.821875,14768.975,14769.115,14769.24625,14769.39,14769.532500000001,14769.67,14769.814375,14769.959375,14770.1125,14770.258125,14770.399375,14772.436249999999,14772.54125,14772.68125,14772.83125,14772.98,14773.125625,14773.259375,14773.39875,14773.539375,14773.681250000001,14773.82375
26,606566809,0,0,0,0,0,0,289572.38,289664.28,289770.99,289876.5,289943.82999999996,290030.54000000004,290166.93,290263.97,290364.68,290448.4,290735.72,290849.73,290945.96,291060.75,291179.05000000005,291307.74,291423.54000000004,291524.48,291587.52999999997,291679.41000000003,291813.58999999997,291890.0,291976.1,292086.99,292206.4,292322.96,292418.83999999997,292518.41,293979.53,294072.61,294160.49,294270.93999999994,294384.99,294497.32,294597.57,294704.59,294822.27,294926.19999999995,295031.33999999997
27,606567686,0,0,0,0,0,0,560651.68,560832.14,561012.13,561184.15,561346.89,561534.6799999999,561731.77,561907.93,562077.2999999999,562251.48,562776.8,562956.35,563120.26,563295.87,563473.0700000001,563648.3,563839.27,564027.5,564200.54,564353.63,564535.31,564712.21,564872.72,565056.11,565247.69,565443.49,565620.68,565784.96,568296.9199999999,568448.38,568620.3899999999,568806.69,568996.5,569185.3300000001,569347.36,569522.13,569699.13,569876.87,570059.56
28,606568463,0,0,0,0,0,0,147250.16499999998,147395.70750000002,147535.4775,147677.6325,147795.55,147937.0025,148082.15000000002,148212.3225,148350.6525,148487.025,148900.16249999998,149038.76499999998,149173.7,149315.0275,149467.02000000002,149603.345,149748.23750000002,149887.745,150018.5975,150142.145,150276.7975,150408.94,150537.89250000002,150677.43,150813.91,150958.44,151096.6825,151236.205,153083.8275,153192.3025,153341.0425,153488.39,153624.0275,153760.925,153888.4625,154029.6225,154171.7,154313.27250000002,154461.2875
29,606569240,0,0,0,0,0,0,61492.85249999999,61508.193750000006,61523.057499999995,61535.868749999994,61547.532499999994,61565.40125,61596.60625,61615.88,61636.825,61649.5975,61698.158749999995,61719.098750000005,61736.77250000001,61751.756250000006,61768.378749999996,61784.541249999995,61800.61625,61826.1275,61841.36625000001,61855.66625,61869.35875,61888.20625,61902.75875000001,61917.276249999995,61937.9825,61959.118749999994,61977.552500000005,61993.505000000005,62254.68875,62269.63625,62287.445,62305.37,62326.91875,62346.38249999999,62361.76875,62378.43,62394.24375000001,62413.24249999999,62431.85125
30,606570086,0,0,0,0,0,0,129326.47374999999,129341.98,129359.30625,129377.58125,129390.89375,129407.94875000001,129436.61875,129460.95999999999,129481.69499999999,129498.77625,129548.60124999999,129566.48999999999,129585.68375,129602.11875000001,129620.5675,129637.62375,129654.19875000001,129673.25374999999,129689.36,129702.74,129718.2,129735.98625,129748.75625,129764.35125,129794.265,129812.10125,129832.69750000001,129853.70625,130057.9,130064.475,130071.97875000001,130080.03625,130096.37375,130108.93875,130121.05249999999,130134.0575,130145.2525,130156.87375000001,130169.04
31,606571863,0,0,0,0,0,0,292671.66500000004,292712.415,292764.08999999997,292805.87,292837.315,292877.445,292926.055,292970.065,293015.27,293055.355,293187.48,293232.545,293274.96499999997,293322.79500000004,293376.835,293429.025,293484.29000000004,293536.605,293571.345,293605.595,293648.255,293696.52999999997,293729.955,293775.865,293825.985,293880.765,293936.71499999997,293989.68000000005,294640.08999999997,294679.985,294720.955,294765.755,294808.88,294848.9,294884.295,294925.75,294977.27,295036.11,295084.345
32,606572640,0,0,0,0,0,0,5498.662499999999,5498.665,5498.669375,5498.671875,5498.6725,5498.6743750000005,5498.675625000001,5498.677500000001,5498.681875,5498.68375,5498.69125,5498.693125,5498.69625,5498.699375,5498.704375,5498.708750000001,5498.713125,5498.715625000001,5498.715625000001,5498.71625,5498.718750000001,5498.722500000001,5498.723125,5498.726250000001,5498.729375,5498.735625,5498.740625,5498.7456250000005,5498.783125,5498.787499999999,5498.791875,5498.795625000001,5498.796875,5498.79875,5498.8,5498.802500000001,5498.8075,5498.81375,5498.8175
33,606573427,77197.37,77212.3475,77226.07875,77242.68875,77282.78,0,77313.27375,77333.95,77355.06875,77366.7875,77378.96875,77401.12875,77425.125,77436.0475,77458.66375,77472.31125,77511.87125,77531.10625,77547.53,77568.41375,77576.54999999999,77601.095,77622.27125,77642.8475,77658.27,77673.9875,77694.08875,77712.12625,77727.98625,77746.18000000001,77763.8125,77794.865,77824.1,77855.45499999999,78165.695,78189.0625,78209.90375,78236.425,78256.73000000001,78285.12375,78307.64375,78327.13625,78354.48624999999,78387.28875,78413.12375
34,606574204,234573.03,234641.91999999998,234721.865,234799.90500000003,234959.915,0,235099.75,235180.7,235263.825,235342.385,235401.38,235470.925,235555.53000000003,235626.635,235722.92000000004,235801.65499999997,236023.955,236104.48500000002,236182.07,236259.97999999998,236333.90000000002,236411.03999999998,236494.255,236573.965,236637.69,236699.365,236771.325,236854.31,236913.02000000002,236991.64,237073.15000000002,237162.97,237242.91999999998,237319.5,238359.245,238413.96499999997,238479.335,238559.12,238634.69,238707.99,238768.72999999998,238841.925,238920.595,239002.555,239079.8
35,606575991,95899.2825,95928.295,95955.145,95978.82250000001,96022.78,0,96070.625,96094.36499999999,96121.7,96143.4075,96152.9925,96180.70000000001,96207.9875,96233.32500000001,96257.66500000001,96285.68,96352.095,96379.005,96403.95,96432.985,96460.41500000001,96487.66,96510.8725,96538.32500000001,96548.8475,96566.84,96594.515,96621.815,96635.5925,96662.395,96690.4275,96720.95,96743.9225,96768.21500000001,97095.3475,97118.1825,97143.44750000001,97169.54749999999,97195.11,97216.2225,97233.815,97261.6925,97288.8175,97314.4,97341.135
36,606576778,145209.68,145260.215,145309.475,145360.72,145468.115,0,145553.96,145604.21,145653.305,145705.615,145753.305,145799.39,145862.95,145919.245,145972.565,146021.335,146174.275,146228.925,146282.24,146328.485,146380.015,146414.565,146467.03,146520.525,146568.41,146616.215,146666.71,146718.185,146763.65,146814.165,146869.19,146927.975,146975.04,147021.42,147731.845,147774.13,147791.61,147843.235,147893.59,147946.025,147991.41999999998,148039.07,148101.58500000002,148149.74,148200.28
37,606577555,56262.15624999999,56272.43125,56284.77875,56295.6225,56319.58499999999,0,56338.45875,56346.19500000001,56358.21125000001,56363.40375,56370.065,56386.73875,56403.524999999994,56423.765,56446.013750000006,56456.850000000006,56502.44374999999,56523.880000000005,56547.4475,56563.1775,56577.2825,56593.9125,56610.15375,56624.85125000001,56633.49125,56646.87125,56659.96625,56673.6175,56680.7075,56695.92,56705.8775,56728.299999999996,56740.99999999999,56755.5225,56973.524999999994,56982.80375000001,56994.291249999995,57004.295,57018.15125,57031.31875,57045.57000000001,57056.471249999995,57067.2325,57080.64000000001,57097.146250000005
38,606578332,20.07,20.078125,20.0875,20.093125,20.105,0,20.118125,20.124375,20.133750000000003,20.139999999999997,20.1425,20.153750000000002,20.161875,20.16875,20.177500000000002,20.186875,20.206875,20.214375,20.2225,20.229375,20.236874999999998,20.245625,20.251875,20.259999999999998,20.26375,20.268125,20.27625,20.284374999999997,20.28875,20.2975,20.305,20.31375,20.320625,20.32875,20.431250000000002,20.4375,20.446875,20.45375,20.460625,20.4675,20.473750000000003,20.48125,20.48875,20.496249999999996,20.505
39,606579119,186418.14500000002,186462.905,186511.82,186562.55,186647.04499999998,0,186739.785,186787.815,186821.11000000002,186855.625,186897.45500000002,186940.61,186988.35499999998,187039.75,187087.445,187131.89500000002,187265.16,187312.91499999998,187359.3,187398.845,187441.08500000002,187489.33000000002,187541.72999999998,187583.51,187634.97999999998,187689.09499999997,187730.365,187778.16499999998,187829.11,187882.575,187926.91999999998,187976.385,188029.18,188086.055,188812.09,188843.04,188886.16,188933.805,188977.7,189035.07,189095.405,189146.22499999998,189199.11000000002,189253.115,189307.385
40,606580955,1753.27,1753.27,1753.27,1753.27,1753.27,0,1753.27,1753.27,1753.27,1753.27,1753.27,1753.27,1753.27,1753.271875,1753.27375,1753.27375,1753.27375,1753.27375,1753.27375,1753.27375,1753.27375,1753.27375,1753.27375,1753.27375,1753.27375,1753.275625,1753.275625,1753.275625,1753.275625,1753.275625,1753.2775000000001,1753.279375,1753.279375,1753.279375,1753.28125,1753.28125,1753.283125,1753.283125,1753.283125,1753.283125,1753.283125,1753.283125,1753.283125,1753.283125,1753.283125
41,606581732,374817.95,374923.31,375037.46,375133.5,375305.74,0,375522.89999999997,375599.37000000005,375664.2,375715.57,375761.76999999996,375821.51,375917.52999999997,376007.58999999997,376090.19999999995,376165.17,376417.12999999995,376498.41,376545.07,376598.52,376649.72,376716.99,376795.55000000005,376857.54000000004,376924.0,376979.11999999994,377062.06999999995,377119.68,377183.03,377242.45,377316.96,377419.17,377490.49,377551.44000000006,378460.74999999994,378523.4199999999,378576.4,378636.6,378723.55,378788.3,378853.25,378916.31999999995,378967.97000000003,379025.67000000004,379115.52999999997
