,NIC,2023-12-15,2023-12-16,2023-12-17,2023-12-18,2023-12-19,2023-12-23,2023-12-24,2023-12-25,2023-12-28,2023-12-29,2023-12-30,2023-12-31,2024-01-01,2024-01-02,2024-01-09,2024-01-10,2024-01-20,2024-01-22,2024-01-23,2024-01-24,2024-01-25,2024-01-26,2024-01-27,2024-01-28,2024-01-29,2024-01-30,2024-01-31,2024-02-01,2024-02-11,2024-02-12,2024-02-13,2024-02-14,2024-02-15,2024-02-16,2024-02-17,2024-02-18,2024-02-19,2024-02-20,2024-02-21,2024-02-22,2024-02-23,2024-02-24,2024-02-25,2024-02-26,2024-02-27,2024-02-28,2024-03-07
24,606564335,315563.26,315684.05999999994,316017.48500000004,316337.695,316671.53500000003,318043.55499999993,318375.695,318669.435,0,319937.315,320262.44000000006,320569.87,320838.085,320851.98,324358.165,324672.395,326663.79,327320.31500000006,327650.655,327981.83,328264.98,328583.265,328887.28500000003,329196.255,329543.255,329830.8,330162.08,330476.82500000007,333516.29,0,334093.20999999996,334393.66500000004,334681.55500000005,334971.38,335274.14499999996,335576.21499999997,335854.93999999994,336192.96499999997,336510.47000000003,336834.845,337083.96499999997,337414.095,337736.3,338066.205,338376.74,338672.65499999997,341181.815
25,606565012,14745.289375,14745.345625,14745.505,14745.648125,14745.7925,14746.3475,14746.513125,14746.661875,0,14747.175625,14747.329375000001,14747.476875,14747.595624999998,14747.643124999999,14749.209374999999,14749.360625,14750.313750000001,14750.619375,14750.77125,14750.923125,14751.071875000001,14751.224375000002,14751.37875,14751.536250000001,14751.68375,14751.834375,14751.99,14752.141875,14753.625624999999,0,14753.91375,14754.064374999998,14754.219375,14754.365625,14754.51875,14754.670625,14754.811875,14754.966875,14755.119999999999,14755.274375,14755.3875,14755.54375,14755.70125,14755.848750000001,14756.0025,14756.151249999999,14757.35875
26,606566809,276463.35,276513.05000000005,276645.27,276754.43,276888.27,277321.6,277467.73,277589.18000000005,277887.95,278019.92,278154.76,278286.28,278377.03,278385.47000000003,279527.62,279633.05,280395.44,280633.0,280742.88,280859.05,280946.82,281060.43,281183.84,281302.25,281409.23,281476.77,281558.69,281674.3,282528.22000000003,282594.91,282658.05000000005,282745.2,282808.33,282877.70999999996,282955.04,283062.42,283119.74,283192.98,0,283362.61,283434.89,283509.84,283597.16000000003,283664.09,283734.84,283809.95999999996,0
27,606567686,534282.47,534354.46,534563.09,534735.2,534909.68,535555.2999999999,535780.32,535970.84,0,536499.96,536696.63,536878.3300000001,536998.37,536998.37,538904.08,539096.72,540297.78,540676.52,540865.91,541055.38,541248.34,541442.35,541644.08,541851.31,542028.81,542228.64,542427.78,542623.46,544503.53,0,544866.79,545064.2,545274.5700000001,545461.02,545661.0800000001,545858.05,546037.1,546234.9400000001,546435.91,546635.4199999999,546770.49,546977.43,547185.19,547363.6599999999,547565.17,547757.98,549307.53
28,606568463,128575.7475,128636.51499999998,128775.51,128901.29000000001,129044.6225,129601.4675,129731.42,129865.57500000001,130224.4275,130346.4,130470.0375,130586.94,130703.62,130782.765,132106.01,132226.3325,133031.56,133276.29,133404.51,133532.4225,133657.445,133785.71000000002,133914.32,134040.4225,134163.42750000002,134286.14500000002,134417.26750000002,134543.425,135728.43,135861.075,135985.025,136120.0,136244.7525,136365.33,136488.63,136619.905,136760.1525,136896.3675,0,137166.0375,137256.44999999998,137389.0225,137529.58500000002,137661.9275,137796.9125,137920.53,0
29,606569240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60350.475000000006,60484.59625
30,606570086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128195.85875000001,128325.7225
31,606571863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289664.875,289948.345
32,606572640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5498.458750000001,5498.47
33,606573427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76141.1325,76156.13,0,0,0,0,0,0,76286.75625
34,606574204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229341.49,229427.47,0,0,0,0,0,0,230202.925
35,606575991,92644.1575,92648.9425,92677.3675,92694.9075,92719.48749999999,92794.0475,92825.31,92837.60250000001,92872.075,92895.02249999999,92917.075,92929.5125,92938.86499999999,92940.18,93216.26749999999,93241.975,93410.38,93465.85250000001,93492.975,93523.67499999999,93550.73000000001,93579.0875,93605.5575,93632.8875,93664.9675,93692.7025,93721.63,93751.295,93996.29999999999,94021.815,94054.505,94085.27,94115.0225,94145.2825,94176.32,94204.9325,94228.7525,94258.9825,94286.24,94316.435,94336.51250000001,94366.65,94393.465,94420.4025,94452.0775,94476.215,94624.73499999999
