,NIC,2023-09-29,2023-09-30,2023-10-01,2023-10-02,2023-10-03,2023-10-04,2023-10-05,2023-10-06,2023-10-07,2023-10-08,2023-10-09,2023-10-10,2023-10-11,2023-10-12,2023-10-13,2023-10-14,2023-10-15,2023-10-16,2023-10-17,2023-10-19,2023-10-20,2023-10-21,2023-10-22,2023-10-23,2023-10-24,2023-10-25,2023-10-26,2023-10-27,2023-10-28,2023-10-29,2023-10-30,2023-10-31,2023-11-01,2023-11-12,2023-11-13,2023-11-14,2023-11-15,2023-11-16,2023-11-17,2023-11-18,2023-11-19,2023-11-20,2023-11-21,2023-11-22,2023-11-23,2023-11-24,2023-11-25,2023-11-26,2023-11-27,2023-11-28,2023-11-29,2023-11-30,2023-12-01,2023-12-02,2023-12-03,2023-12-04,2023-12-15
20,606568463,118714.2075,118835.0525,118961.33,119096.7025,119239.78,119370.975,119482.08000000002,119614.85250000001,119735.03,119864.83499999999,119998.655,120114.29000000001,120228.0425,120370.76250000001,120504.16,120632.07,120756.88750000001,120890.3725,0,121270.465,121405.5875,121526.6625,121648.0,121766.7425,121884.445,122001.27249999999,122123.4875,0,122358.525,122480.0125,122597.52,122719.9025,122837.555,124150.385,124272.03,124398.775,124521.66,124652.9975,0,124910.17,125031.3825,125152.3725,125295.13,125429.5,125564.375,125704.29999999999,125837.25749999999,125963.6225,126093.03,126217.885,126339.805,126478.8875,126610.4675,126765.73,126908.265,127032.83750000001,128575.7475
21,606569240,59874.0275,59897.137500000004,59914.27,59932.30374999999,59946.86499999999,59961.6725,59976.75375,59992.35375,60013.145,60032.18125000001,60047.43875,60067.478749999995,60082.700000000004,60097.8875,60113.49875,60135.94125,60153.06,60167.8875,60183.113750000004,60223.2375,60239.6075,60258.052500000005,60275.9725,60293.385,60305.65625000001,60319.54875,60336.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,606570086,127492.59874999999,127519.63500000001,127553.18125,127574.76625,127604.78875,127630.04625,127651.43000000001,127674.09875,127700.11624999999,127728.85124999999,127759.93625000001,127785.53125,127823.17125,127845.28875,127869.63,127892.75749999999,127921.455,127948.11499999999,127972.5675,128014.2325,128032.5325,128059.2375,128085.94,128116.195,128137.16625000001,128155.43125000001,128181.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,606571863,288020.67,288081.865,288144.185,288198.645,288258.83999999997,288318.19999999995,288378.305,288439.95999999996,288502.52,288566.05000000005,288619.175,288679.535,288737.17,288796.305,288855.4,288918.69,288983.82999999996,289036.155,289089.29500000004,289212.475,289272.62,289338.475,289399.885,289451.69,289510.07499999995,289568.45499999996,289632.91500000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,606572640,5460.291875,5461.201875,5462.164375,5463.118125,5464.050625,5464.666249999999,5465.614375,5466.539999999999,5467.458749999999,5467.4662499999995,5468.38375,5469.32625,5470.284375,5471.21375,5473.0581250000005,5475.264375000001,5477.496875,5479.663125,5480.976875,5484.578750000001,5486.469375,5488.435624999999,5490.299999999999,5492.436875,5494.565624999999,5496.49875,5498.4574999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,606575991,90760.055,90778.5875,90799.04000000001,90815.8775,90838.14499999999,90856.91,90872.86499999999,90889.0075,90907.25,90926.58249999999,90944.25,90965.19,90983.0075,90998.845,91032.1575,91059.09,91087.0175,91111.80500000001,91135.67249999999,91191.2125,91218.24,91245.0725,91276.525,91301.6975,91328.3775,91354.94750000001,91383.5475,91408.9,91425.6575,91450.1875,91472.53,91499.245,91519.745,91766.7875,91794.075,91819.60500000001,91849.54750000002,91881.28,0,0,91951.5875,91975.2075,91993.8625,92020.32750000001,92046.3075,92071.3,92088.58000000002,92110.9625,92136.945,92165.545,92193.48000000001,92215.895,92242.94750000001,92268.8675,92296.47750000001,92323.785,92644.1575
26,606576778,134991.5125,135044.4125,135101.215,135145.9375,135196.815,135226.41499999998,135269.1375,135322.8925,135377.88999999998,135437.3475,135488.21,135546.64250000002,135601.28,135659.895,135722.7725,135774.33250000002,135826.395,135869.24,135914.5,136009.85749999998,136051.335,136100.22,136149.1925,136193.8025,136238.6375,136286.765,136335.66999999998,136376.66,136421.125,136467.23,136509.55,136546.14,136583.745,137039.22,137081.91999999998,137127.64500000002,137173.94,137235.97,0,0,137401.33,137443.895,137495.315,137542.865,137588.11000000002,137634.035,137686.29499999998,137739.05,137792.25999999998,137837.31,137882.92500000002,137926.24000000002,137974.57,138026.405,138072.835,138122.345,138712.74
27,606577555,53735.95125,53754.744999999995,53781.400624999995,53797.81625,53818.51875,53837.5625,53851.635,53867.208125000005,53883.92875000001,53903.548125,53922.816249999996,53941.439375,53954.045625,53970.439375,53987.676875000005,54009.219375,54027.36062500001,54047.200000000004,54058.501875,54083.269374999996,54093.9675,54105.14875,54122.203125,54139.6575,54150.375625,54157.09312499999,54164.45625,54170.388125,54176.7425,54185.698124999995,54195.2,54202.653125,54208.866875,54299.487499999996,54308.024999999994,54320.79624999999,54328.096874999996,54338.02250000001,0,0,54367.73875,54376.118125,54383.014375,54394.744999999995,54404.19875,54413.806875,54424.228125,54436.840625000004,54448.89375,54456.63125,54467.131875,54472.89,54481.128124999996,54488.620624999996,54500.47625,54510.81187500001,54620.76125
28,606578332,18.509375,18.515625,18.5225,18.528125,18.535,18.541875,18.5475,18.553125,18.558125,18.564375,18.570625,18.576249999999998,18.581249999999997,18.586875,18.596874999999997,18.606875000000002,18.615625,18.624375,18.63125,18.6475,18.655625,18.663125,18.673750000000002,18.6825,18.689375000000002,18.696875,18.704375,18.7125,18.716875,18.72375,18.730625,18.73875,18.744375,18.81875,18.82625,18.83375,18.84125,18.850625,0,0,18.872500000000002,18.879375,18.884375000000002,18.893125,18.900624999999998,18.908125,18.91375,18.920624999999998,18.928125,18.935625,18.943125,18.94875,18.95625,18.96375,18.97125,18.978125,19.0675
29,606579119,178582.14250000002,178614.20500000002,178647.22,178688.54499999998,178718.4925,178748.53000000003,178780.135,178810.36,178840.805,178871.5775,178910.25999999998,178938.4275,0,179008.27000000002,179044.87,179079.735,179122.64750000002,179165.8675,179204.865,179264.91999999998,179299.96750000003,179328.245,179358.615,179390.91999999998,179417.5875,179447.8375,179478.8025,179512.235,179540.5625,179575.745,179614.02000000002,179648.8275,179695.71999999997,180108.40999999997,180143.8525,180181.5625,180217.20750000002,180256.1725,0,0,180366.28,180408.1525,180434.54499999998,180469.875,180499.46000000002,180537.735,180574.26,180611.24,180651.20750000002,180689.5075,180722.78749999998,180763.2775,180797.385,180830.3175,180871.3025,180912.995,181304.5325
